step,time,old_pos,new_pos,step_pnl,portfolio_value
88,2023-04-30 17:59:00,[-0.5],[-0.5],35.835919522518864,98458.95038911865
89,2023-04-30 18:59:00,[-0.5],[-0.5],9.208418081140266,98468.15880719978
90,2023-04-30 19:59:00,[-0.5],[-0.5],15.841134316317849,98483.9999415161
91,2023-04-30 20:59:00,[-0.5],[-0.5],-302.42522617973776,98181.57471533636
92,2023-04-30 21:59:00,[-0.5],[-0.5],-94.21948625314535,98087.35522908322
93,2023-04-30 22:59:00,[-0.5],[-0.5],-1.5987182519838683,98085.75651083123
94,2023-04-30 23:59:00,[-0.5],[-0.5],-360.68989657611735,97725.0666142551
95,2023-05-01 00:59:00,[-0.5],[-0.5],255.1937406727978,97980.2603549279
96,2023-05-01 01:59:00,[-0.5],[-0.5],85.47774536708964,98065.73810029498
97,2023-05-01 02:59:00,[-0.5],[-0.5],112.72744101413657,98178.46554130912
98,2023-05-01 03:59:00,[-0.5],[-0.5],38.78531499263872,98217.25085630176
99,2023-05-01 04:59:00,[-0.5],[-0.5],41.220636029292166,98258.47149233105
100,2023-05-01 05:59:00,[-0.5],[-0.5],66.30711234329901,98324.77860467436
101,2023-05-01 06:59:00,[-0.5],[-0.5],-124.60742618281117,98200.17117849154
102,2023-05-01 07:59:00,[-0.5],[-0.5],-61.5553731882612,98138.61580530327
103,2023-05-01 08:59:00,[-0.5],[-0.5],58.71092602320772,98197.32673132648
104,2023-05-01 09:59:00,[-0.5],[-0.5],46.469818950333206,98243.79655027682
105,2023-05-01 10:59:00,[-0.5],[-0.5],-82.55283024423242,98161.2437200326
106,2023-05-01 11:59:00,[-0.5],[-0.5],4.143998593185714,98165.38771862577
107,2023-05-01 12:59:00,[-0.5],[-0.5],-6.30017725493758,98159.08754137084
108,2023-05-01 13:59:00,[-0.5],[-0.5],13.050221047071773,98172.13776241791
109,2023-05-01 14:59:00,[-0.5],[-0.5],18.386122680634784,98190.52388509855
110,2023-05-01 15:59:00,[-0.5],[-0.5],227.56672111763243,98418.09060621618
111,2023-05-01 16:59:00,[-0.5],[-0.5],-154.6925572539115,98263.39804896226
112,2023-05-01 17:59:00,[-0.5],[-0.5],120.96200165767513,98384.36005061994
113,2023-05-01 18:59:00,[-0.5],[-0.5],4.551351145408731,98388.91140176535
114,2023-05-01 19:59:00,[-0.5],[-0.5],61.24963980711385,98450.16104157246
115,2023-05-01 20:59:00,[-0.5],[-0.5],109.40616310650576,98559.56720467897
116,2023-05-01 21:59:00,[-0.5],[-0.5],-61.83946952667107,98497.7277351523
117,2023-05-01 22:59:00,[-0.5],[-0.5],-80.53342233085402,98417.19431282143
118,2023-05-01 23:59:00,[-0.5],[-0.5],55.148497339873046,98472.34281016131
119,2023-05-02 00:59:00,[-0.5],[-0.5],85.57351856965823,98557.91632873096
120,2023-05-02 01:59:00,[-0.5],[-0.5],-11.574545530047544,98546.34178320091
121,2023-05-02 02:59:00,[-0.5],[-0.5],-69.50452272096562,98476.83726047995
122,2023-05-02 03:59:00,[-0.5],[-0.5],-1.6176393599087646,98475.21962112005
123,2023-05-02 04:59:00,[-0.5],[-0.5],58.689244528385984,98533.90886564844
124,2023-05-02 05:59:00,[-0.5],[-0.5],-47.26012799010192,98486.64873765834
125,2023-05-02 06:59:00,[-0.5],[-0.5],-17.468975219770968,98469.17976243857
126,2023-05-02 07:59:00,[-0.5],[-0.5],72.89264541812003,98542.07240785669
127,2023-05-02 08:59:00,[-0.5],[-0.5],-52.645287406051224,98489.42712045064
128,2023-05-02 09:59:00,[-0.5],[-0.5],-28.204537770794005,98461.22258267984
129,2023-05-02 10:59:00,[-0.5],[-0.5],-43.75047963944944,98417.47210304039
130,2023-05-02 11:59:00,[-0.5],[-0.5],-13.32853031892455,98404.14357272147
131,2023-05-02 12:59:00,[-0.5],[-0.5],-105.43567774588091,98298.7078949756
132,2023-05-02 13:59:00,[-0.5],[-0.5],88.81672693992094,98387.52462191552
133,2023-05-02 14:59:00,[-0.5],[-0.5],-21.731675712889356,98365.79294620264
134,2023-05-02 15:59:00,[-0.5],[-0.5],-157.6881047408618,98208.10484146177
135,2023-05-02 16:59:00,[-0.5],[-0.5],29.953068082976273,98238.05790954475
136,2023-05-02 17:59:00,[-0.5],[-0.5],-69.66952392624236,98168.3883856185
137,2023-05-02 18:59:00,[-0.5],[-0.5],36.23863507418058,98204.62702069269
138,2023-05-02 19:59:00,[-0.5],[-0.5],-9.054054726599361,98195.57296596609
139,2023-05-02 20:59:00,[-0.5],[-0.5],58.338842276638445,98253.91180824273
140,2023-05-02 21:59:00,[-0.5],[-0.5],53.21049430901837,98307.12230255175
141,2023-05-02 22:59:00,[-0.5],[-0.5],-54.1993591587142,98252.92294339304
142,2023-05-02 23:59:00,[-0.5],[-0.5],-15.297886895405668,98237.62505649764
143,2023-05-03 00:59:00,[-0.5],[-0.5],14.857448424642214,98252.48250492229
144,2023-05-03 01:59:00,[-0.5],[-0.5],7.892300733546307,98260.37480565583
145,2023-05-03 02:59:00,[-0.5],[-0.5],-10.618741248903376,98249.75606440692
146,2023-05-03 03:59:00,[-0.5],[-0.5],-5.720492636763765,98244.03557177015
147,2023-05-03 04:59:00,[-0.5],[-0.5],13.713833674543494,98257.74940544469
148,2023-05-03 05:59:00,[-0.5],[-0.5],-18.42414722819207,98239.3252582165
149,2023-05-03 06:59:00,[-0.5],[-0.5],-86.92596351200898,98152.39929470449
150,2023-05-03 07:59:00,[-0.5],[-0.5],-102.85022596263737,98049.54906874185
151,2023-05-03 08:59:00,[-0.5],[-0.5],56.96508913246468,98106.51415787432
152,2023-05-03 09:59:00,[-0.5],[-0.5],-10.378804287182177,98096.13535358713
153,2023-05-03 10:59:00,[-0.5],[-0.5],72.06799120005215,98168.20334478718
154,2023-05-03 11:59:00,[-0.5],[-0.5],-121.96246435067891,98046.2408804365
155,2023-05-03 12:59:00,[-0.5],[-0.5],161.22735447463455,98207.46823491112
156,2023-05-03 13:59:00,[-0.5],[-0.5],74.09499442993962,98281.56322934106
157,2023-05-03 14:59:00,[-0.5],[-0.5],34.671470330959195,98316.23469967202
158,2023-05-03 15:59:00,[-0.5],[-0.5],-57.91326011726049,98258.32143955475
159,2023-05-03 16:59:00,[-0.5],[-0.5],14.231005165065156,98272.55244471983
160,2023-05-03 17:59:00,[-0.5],[-0.5],50.76383277009434,98323.31627748992
161,2023-05-03 18:59:00,[-0.5],[-0.5],521.9367357944582,98845.25301328438
162,2023-05-03 19:59:00,[-0.5],[-0.5],-274.58784553708983,98570.6651677473
163,2023-05-03 20:59:00,[-0.5],[-0.5],-184.6435454482942,98386.021622299
164,2023-05-03 21:59:00,[-0.5],[-0.5],-308.711086847403,98077.3105354516
165,2023-05-03 22:59:00,[-0.5],[-0.5],184.32553094627104,98261.63606639787
0,2023-05-04 01:59:00,[0.],[-0.42011112],-41.28080595604252,98220.35526044182
