step,time,old_pos,new_pos,step_pnl,portfolio_value
65,2023-04-29 18:59:00,[-0.32272545 -0.3771797 ],[-0.31830236 -0.36866784],113.21410515530556,100872.24070890158
66,2023-04-29 19:59:00,[-0.31830236 -0.36866784],[-0.16903217 -0.2548631 ],29.1004074903421,100901.34111639192
67,2023-04-29 20:59:00,[-0.16903217 -0.2548631 ],[-0.320281  -0.4251322],-107.72342114907129,100793.61769524285
68,2023-04-29 21:59:00,[-0.320281  -0.4251322],[-0.00347419 -0.16625583],142.67622983665984,100936.29392507952
69,2023-04-29 22:59:00,[-0.00347419 -0.16625583],[-0.35961294 -0.26602176],-21.568127645925145,100914.7257974336
70,2023-04-29 23:59:00,[-0.35961294 -0.26602176],[-0.28950354 -0.07364933],35.60841384572251,100950.33421127932
71,2023-04-30 00:59:00,[-0.28950354 -0.07364933],[-0.3585752 -0.2966281],-28.47655908925295,100921.85765219007
72,2023-04-30 01:59:00,[-0.3585752 -0.2966281],[-0.30005875 -0.17175232],-176.5394819284749,100745.3181702616
73,2023-04-30 02:59:00,[-0.30005875 -0.17175232],[-0.27732772 -0.39509907],-179.83471116732417,100565.48345909428
74,2023-04-30 03:59:00,[-0.27732772 -0.39509907],[-0.28636095 -0.27644274],67.71823365786419,100633.20169275215
75,2023-04-30 04:59:00,[-0.28636095 -0.27644274],[-0.16524625  0.07077424],240.1052282256147,100873.30692097776
76,2023-04-30 05:59:00,[-0.16524625  0.07077424],[-0.15587868 -0.05926393],-43.73526335084183,100829.57165762692
77,2023-04-30 06:59:00,[-0.15587868 -0.05926393],[-0.31425306 -0.29017898],-24.12167032361833,100805.4499873033
78,2023-04-30 07:59:00,[-0.31425306 -0.29017898],[-0.30740887 -0.38487247],-161.3112935556584,100644.13869374765
79,2023-04-30 08:59:00,[-0.30740887 -0.38487247],[-0.27701893 -0.16446911],164.1063580824073,100808.24505183006
80,2023-04-30 09:59:00,[-0.27701893 -0.16446911],[-0.31139988  0.06677984],-34.11116536995964,100774.1338864601
81,2023-04-30 10:59:00,[-0.31139988  0.06677984],[-0.3552977  -0.26379234],-4.950144527753379,100769.18374193234
82,2023-04-30 11:59:00,[-0.3552977  -0.26379234],[-0.31694373 -0.14732125],-8.332086704564745,100760.85165522777
83,2023-04-30 12:59:00,[-0.31694373 -0.14732125],[-0.30377415 -0.21742128],-129.75313524855576,100631.09851997922
84,2023-04-30 13:59:00,[-0.30377415 -0.21742128],[-0.33202502 -0.3721408 ],-74.20297784465025,100556.89554213457
85,2023-04-30 14:59:00,[-0.33202502 -0.3721408 ],[-0.20307146 -0.0111932 ],288.9872269940465,100845.88276912863
86,2023-04-30 15:59:00,[-0.20307146 -0.0111932 ],[-0.3741073  -0.30279723],-195.5341756662861,100650.34859346235
87,2023-04-30 16:59:00,[-0.3741073  -0.30279723],[-0.31787172 -0.14556177],-50.81013625746397,100599.53845720488
88,2023-04-30 17:59:00,[-0.31787172 -0.14556177],[-0.2839351 -0.3527334],-81.85271224662392,100517.68574495826
89,2023-04-30 18:59:00,[-0.2839351 -0.3527334],[-0.11727141 -0.24636923],-117.61567581543362,100400.07006914282
90,2023-04-30 19:59:00,[-0.11727141 -0.24636923],[-0.38759068 -0.11427762],-124.44162412013719,100275.62844502268
91,2023-04-30 20:59:00,[-0.38759068 -0.11427762],[-0.30071625 -0.157461  ],-156.04612680943828,100119.58231821324
92,2023-04-30 21:59:00,[-0.30071625 -0.157461  ],[-0.2431905  -0.02684389],98.95809648308251,100218.54041469633
93,2023-04-30 22:59:00,[-0.2431905  -0.02684389],[-0.31670886 -0.27670124],1.3155607367829714,100219.8559754331
94,2023-04-30 23:59:00,[-0.31670886 -0.27670124],[-0.11246684  0.28427783],236.61715549637998,100456.47313092949
95,2023-05-01 00:59:00,[-0.11246684  0.28427783],[-0.41206825 -0.2378551 ],217.95309099045812,100674.42622191994
96,2023-05-01 01:59:00,[-0.41206825 -0.2378551 ],[-0.04364011 -0.35685143],189.36927129678102,100863.79549321672
97,2023-05-01 02:59:00,[-0.04364011 -0.35685143],[-0.30505106 -0.3309128 ],111.53511763440383,100975.33061085112
98,2023-05-01 03:59:00,[-0.30505106 -0.3309128 ],[-0.19535781 -0.44148198],-46.66231912283973,100928.66829172827
99,2023-05-01 04:59:00,[-0.19535781 -0.44148198],[-0.25439873 -0.02637826],175.06157765642487,101103.7298693847
100,2023-05-01 05:59:00,[-0.25439873 -0.02637826],[-0.23150381 -0.08239128],79.75208199918328,101183.48195138387
101,2023-05-01 06:59:00,[-0.23150381 -0.08239128],[-0.3251308   0.06360839],-53.59827677647732,101129.8836746074
102,2023-05-01 07:59:00,[-0.3251308   0.06360839],[-0.3555167 -0.3400256],-124.58811809159279,101005.2955565158
103,2023-05-01 08:59:00,[-0.3555167 -0.3400256],[-0.23370668 -0.40487614],124.26106398500085,101129.5566205008
104,2023-05-01 09:59:00,[-0.23370668 -0.40487614],[-0.29767302 -0.34577376],3.9312160042225948,101133.48783650502
105,2023-05-01 10:59:00,[-0.29767302 -0.34577376],[-0.3250507 -0.2275698],-130.2165969114922,101003.27123959354
106,2023-05-01 11:59:00,[-0.3250507 -0.2275698],[-0.30300835 -0.44693834],-41.029883198319524,100962.24135639521
107,2023-05-01 12:59:00,[-0.30300835 -0.44693834],[-0.26040336 -0.01394392],221.04207333271722,101183.28342972793
108,2023-05-01 13:59:00,[-0.26040336 -0.01394392],[-0.13320787 -0.01877581],74.1601275980826,101257.44355732601
109,2023-05-01 14:59:00,[-0.13320787 -0.01877581],[-0.3531237   0.07837033],-12.472515014571686,101244.97104231144
110,2023-05-01 15:59:00,[-0.3531237   0.07837033],[-0.30514374 -0.19769105],132.08075916917355,101377.05180148061
111,2023-05-01 16:59:00,[-0.30514374 -0.19769105],[-0.29666463  0.06015579],-138.55385446366955,101238.49794701695
112,2023-05-01 17:59:00,[-0.29666463  0.06015579],[-0.30234572 -0.32599756],65.16163708521344,101303.65958410216
113,2023-05-01 18:59:00,[-0.30234572 -0.32599756],[-0.31618    -0.39704373],-67.92741557037374,101235.73216853179
114,2023-05-01 19:59:00,[-0.31618    -0.39704373],[-0.09063257 -0.00993429],427.667228153697,101663.39939668549
115,2023-05-01 20:59:00,[-0.09063257 -0.00993429],[-0.15184669  0.13386174],41.03314148344653,101704.43253816894
116,2023-05-01 21:59:00,[-0.15184669  0.13386174],[-0.3667661   0.07128347],-199.52094959833383,101504.91158857061
117,2023-05-01 22:59:00,[-0.3667661   0.07128347],[-0.19153431  0.03794743],101.35912503176877,101606.27071360238
118,2023-05-01 23:59:00,[-0.19153431  0.03794743],[-0.16461203 -0.3154039 ],30.518389132243662,101636.78910273462
119,2023-05-02 00:59:00,[-0.16461203 -0.3154039 ],[-0.346698   -0.06299473],-21.581753060986802,101615.20734967363
120,2023-05-02 01:59:00,[-0.346698   -0.06299473],[-0.12543498 -0.26357034],23.526802761226214,101638.73415243486
121,2023-05-02 02:59:00,[-0.12543498 -0.26357034],[-0.19462359 -0.0405998 ],40.68267907493578,101679.41683150979
122,2023-05-02 03:59:00,[-0.19462359 -0.0405998 ],[-0.24886683 -0.02225446],88.84314022581462,101768.2599717356
123,2023-05-02 04:59:00,[-0.24886683 -0.02225446],[-0.29826835 -0.34405375],19.68815436433833,101787.94812609995
124,2023-05-02 05:59:00,[-0.29826835 -0.34405375],[-0.29745683 -0.25225773],-91.43784990174433,101696.5102761982
125,2023-05-02 06:59:00,[-0.29745683 -0.25225773],[-0.34461594 -0.1478286 ],86.76393428027077,101783.27421047847
126,2023-05-02 07:59:00,[-0.34461594 -0.1478286 ],[-0.14701    -0.21032429],186.84670861426886,101970.12091909273
127,2023-05-02 08:59:00,[-0.14701    -0.21032429],[-0.3089978 -0.1132597],168.6874235284845,102138.80834262121
128,2023-05-02 09:59:00,[-0.3089978 -0.1132597],[-0.35322836 -0.2777503 ],-94.04826032062482,102044.76008230059
129,2023-05-02 10:59:00,[-0.35322836 -0.2777503 ],[-0.31464496 -0.10649963],-21.02380923970063,102023.73627306089
130,2023-05-02 11:59:00,[-0.31464496 -0.10649963],[-0.35262072 -0.3024597 ],-13.810398783836291,102009.92587427705
131,2023-05-02 12:59:00,[-0.35262072 -0.3024597 ],[-0.27427453  0.07656223],209.7653838202997,102219.69125809734
132,2023-05-02 13:59:00,[-0.27427453  0.07656223],[-0.3334324  -0.27413207],39.533194485625934,102259.22445258297
133,2023-05-02 14:59:00,[-0.3334324  -0.27413207],[-0.32776374 -0.08004884],-176.7232891041923,102082.50116347878
134,2023-05-02 15:59:00,[-0.32776374 -0.08004884],[-0.35401234 -0.14988314],-232.2852589875847,101850.2159044912
135,2023-05-02 16:59:00,[-0.35401234 -0.14988314],[-0.31813368 -0.3958251 ],-125.47359555088292,101724.74230894032
136,2023-05-02 17:59:00,[-0.31813368 -0.3958251 ],[-0.28702614  0.05762072],-35.30859305033951,101689.43371588997
137,2023-05-02 18:59:00,[-0.28702614  0.05762072],[-0.34446496 -0.03553552],43.51757508826352,101732.95129097824
138,2023-05-02 19:59:00,[-0.34446496 -0.03553552],[-0.34914798 -0.18665943],-43.95163005271257,101688.99966092552
139,2023-05-02 20:59:00,[-0.34914798 -0.18665943],[-0.27029786 -0.35836613],-52.41130966107216,101636.58835126445
